ID Ligi,Klub,Pozycja,Zawodnik,Powrót do gry
"15612","SKS Iłżanka Baranów","P","Węglewski, Tomasz","2026-05-13 22:28:17"
"15618","PRISM Coffee","A","Załęski, Michał","2026-05-13 23:51:46"
"15199","Saracens","A","Majka, Andrzej","2026-05-14 00:28:18"
"15623","GizoTeam","P","Vitale, Sandro","2026-05-14 01:15:46"
"15198","Dzikie Rumaxy","A","Czech, Aleksander","2026-05-14 01:28:17"
"15201","sanah","Ś","Graovac, Mak","2026-05-14 04:05:13"
"15611","eŁKSa1908","Ś","Yasui, Takashi","2026-05-14 04:09:14"
"15617","Projekt Warszawa","P","Chunxian, Hu","2026-05-14 05:12:14"
"15618","Seniorzy Wieluń","P","Correa, Fabiano","2026-05-14 06:12:10"
"15608","⭐ Nati ⭐ 1995 ⭐  ∞  ⭐","Ś","Forsblom, Hilarius","2026-05-14 06:23:31"
"15623","BAŁUTY ŁÓDŹ","Ś","Franco, Leonardo","2026-05-14 06:29:19"
"15613","Browary Hills","L","Guzzi, Emílio","2026-05-14 07:23:32"
"15611","Valiant Boys","L","Jeske, Kacper","2026-05-14 08:09:07"
"15202","BKS Białystok","A","Janiec, Hubert","2026-05-14 11:41:29"
"15619","Silver Sharks Lublin 🦈","Ś","Kaczorowski, Mariusz","2026-05-14 12:46:45"
"15617","Polonia Bytom","A","Rak, Jakub","2026-05-14 13:28:46"
"15621","Zryw","P","Albino, Godofredo","2026-05-14 15:51:15"
"15612","Iskra Krosno","Ś","Bukowski, Paweł","2026-05-14 18:31:53"
"15199","LukTeam","Ś","Misztal, Szymon","2026-05-14 19:37:21"
"15621","Pogromcy Gdańsk","P","Garcia, Patrick","2026-05-14 21:07:22"
"15200","MAKDOM","L","Pierre, Guy","2026-05-14 21:31:53"
"15608","Team Spiryt Chorzów","P","Bahúl, Ferdinand","2026-05-15 00:06:50"
"15608","Korporacja Gwiazd Bezrobocia","Ś","Czoski, Krzysztof","2026-05-15 00:18:03"
"15612","CAMORRA VC","A","Lilov, Nikolay","2026-05-15 00:28:23"
"15608","Renifers","A","Araucz, Tadeusz","2026-05-15 00:51:52"
"15613","Arks Bucz","R","Konarski, Marcin","2026-05-15 01:18:00"
"15614","LKS Rotavia Nieporęt","A","Pigeon, Philippe","2026-05-15 01:22:33"
"15611","Trefl","R","Canberk, Azmi","2026-05-15 03:15:49"
"15617","Projekt Warszawa","Ś","Hristov, Metodi","2026-05-15 03:15:49"
"15615","Aptekarz Tylmanowa","Ś","Popławski, Jacek","2026-05-15 05:25:23"
"15617","Heheszki","Ś","Wołoszyn, Dariusz","2026-05-15 05:29:23"
"15610","DragonGAYS Polska","Ś","Alkanalp, Fahir","2026-05-15 05:54:33"
"15622","Air Force","A","Engel, William","2026-05-15 06:09:21"
"15198","Kuźnia Byków","P","Jordan, Louis","2026-05-15 06:34:45"
"15202","QUEERTISONEK TEAM","R","Celmer, Wojciech","2026-05-15 06:34:47"
"15618","Gks Ogrodowa","Ś","Mikołajczyk, Przemysław","2026-05-15 06:53:43"
"15615","NOVELO","R","Ciurzyński, Daniel","2026-05-15 07:38:27"
"15611","Trefl Gdańsk Pomorze","P","Bąk, Wiesław","2026-05-15 08:25:56"
"15621","Konowały","A","Moore, Anthony","2026-05-15 08:26:01"
"15618","AKS Andrut Kalisz 🧇","P","Konarski, Wojciech","2026-05-15 09:09:14"
"15611","KS Świt Baranowo","R","Leroux, Benjamin","2026-05-15 10:41:05"
"15200","MAKDOM","P","Wycisk, Jerzy","2026-05-15 10:41:35"
"15620","Hutnik Stocznia Białystok","A","Fiorito, Cesarino","2026-05-15 14:30:59"
"15612","RafaTeam Lipusz","Ś","Göksel, Bora","2026-05-15 14:51:16"
"15199","SKUP MŁODYCH TALENTÓW ORZYSZ🏐","Ś","Devizzia, Marcial","2026-05-15 15:28:50"
"15613","RTS.Strongman Małecz","Ś","Rybicki, Tomasz","2026-05-15 20:26:36"
"15612","PGE Skra Poznań","Ś","Filoni, Zaccaria","2026-05-15 20:26:39"
"15622","Victoria Dobra","Ś","Siena, Orlando","2026-05-15 20:26:39"
"15610","Ciapate Bagietki","P","Dobrzyński, Jakub","2026-05-15 20:32:00"
"15616","GKS Stoczniowiec Gdańsk","R","Czerczak, Zygmunt","2026-05-15 20:46:45"
"15617","KS Strużanka Baranów","P","Czupryniak, Sławomir","2026-05-15 22:16:43"
"15614","Ghrum","P","Andriolo, Carmelo","2026-05-15 22:47:23"
"15611","Błyskawica Janów","R","Osdorf, Falko","2026-05-16 01:51:52"
"15621","BETARD Sparta Wrocław","Ś","Miladinov, Georgi","2026-05-16 01:51:52"
"15199","SKUP MŁODYCH TALENTÓW ORZYSZ🏐","Ś","Talčík, Gyula","2026-05-16 02:51:16"
