ID Ligi,Klub,Pozycja,Zawodnik,Powrót do gry
"15169","Sixsense Volei Clube","P","Türkheim, Isbert","2026-05-14 00:09:41"
"15172","Aloredondo","R","Aibéo, Alfredo","2026-05-14 02:51:16"
"18744","Clube do Remo","P","Garrido, Lourenço","2026-05-14 03:15:18"
"18746","Minas tênis clube","R","Melgaço, Nicomedes","2026-05-14 07:36:00"
"18755","Santukas SC","A","Mundim, Michel","2026-05-14 11:25:35"
"18743","NWB sports","Ś","Campello, Tom","2026-05-14 11:35:50"
"18750","Leopardos Clube","R","Dantas, Expedito","2026-05-14 12:39:50"
"18749","Valentinas","P","Sigaud, Iuri","2026-05-14 12:51:19"
"18744","Rj Vôlei Clube","Ś","Gomide, Eustáquio","2026-05-14 13:28:38"
"18748","Piratas do Vôlei","L","Prieto, Oséas","2026-05-14 13:39:54"
"15170","lnstituto Dom Fernando Gomes","Ś","Sarbinowski, Mirosław","2026-05-14 14:25:32"
"18744","Canelada","P","Giardini, Bruno","2026-05-14 17:41:27"
"15168","BH Voleibol","P","Nenkov, Valeri","2026-05-14 18:33:51"
"18755","Vôlei amazonas","R","Peres, Andrei","2026-05-14 19:12:34"
"18753","Backhaus","A","Tostes, Saulo","2026-05-14 19:45:04"
"18743","3 Pontões VB","Ś","Aires, Ralf","2026-05-14 19:51:18"
"18745","Vlw Amaral","P","Schiavon, Iago","2026-05-14 21:35:26"
"18753","Sesi Civitanova","Ś","Rondinelli, Osmar","2026-05-14 22:03:29"
"15170","Pânico Vôlei Clube","P","Mroziński, Henryk","2026-05-14 22:51:15"
"15168","Sergipe Vôlei","P","Baldi, Flavio","2026-05-15 00:28:26"
"18757","Samaritano","Ś","Beltrame, Josué","2026-05-15 01:09:38"
"15171","Barão Vermelho","L","Síkora, Radomil","2026-05-15 02:18:01"
"18751","BjornVolei","A","Nigro, Edirlei","2026-05-15 06:15:16"
"15170","Fênix Vôlei","R","Vilela, Leandro","2026-05-15 06:53:45"
"15170","Gabiroba V.C.","R","Viana, Ubiratan","2026-05-15 09:16:32"
"15169","Osasco vôlei 1998","P","Śliwiński, Marcel","2026-05-15 10:25:56"
"15168","ESPIRITO SANTO ESV","L","da Silva, Wilson","2026-05-15 10:41:37"
"18748","Melvolleyball","P","Sartori, Ruy","2026-05-15 11:25:33"
"18750","Elite sa","A","Saldanha, Jairo","2026-05-15 12:15:35"
"18756","LAJEDO VÔLEI","A","Espósito, Benjamim","2026-05-15 12:25:33"
"18755","Goiânia Volley","Ś","Telles, Odvan","2026-05-15 12:25:37"
"18749","Rexona Unilever","Ś","Rossi, Sávio","2026-05-15 12:35:59"
"18748","LIONS FC","A","Martinelli, Rivaldo","2026-05-15 15:33:56"
"18745","Milagre","P","Lopes, Wanderson","2026-05-15 16:33:57"
"15169","Brazuca","L","Maia, Lindomar","2026-05-15 18:49:10"
"18744","Vôlei Clube Jacareí","Ś","Picchi, Adão","2026-05-15 20:12:33"
"18745","Raphael club","A","Videira, Nilceu","2026-05-15 20:12:40"
"18756","Twinst","P","Caribé, Valter","2026-05-15 21:35:29"
"18752","Vôlei Natal","R","Bento, Stênio","2026-05-15 22:03:27"
"18745","PRH","Ś","Rigotto, Getúlio","2026-05-15 23:03:31"
"18745","SESI Ribeirão","R","Matarazzo, Valdomiro","2026-05-16 02:26:52"
"18746","Sesi vr","R","Lobo, Evandro","2026-05-16 02:26:52"
"15171","Brusque","R","Avdukić, Faruk","2026-05-16 04:38:25"
"15168","ESPIRITO SANTO ESV","L","Wienrich, Franz-Josef","2026-05-16 05:41:43"
"18755","Flamengo-sesc","P","de Barros, Euclides","2026-05-16 08:41:33"
"18751","Coxilha Oeste E.C.","P","Rodrigues, Afonso","2026-05-16 10:15:36"
"18743","Galera de volei","P","Constantino, Astolfo","2026-05-16 10:28:18"
"18747","Atletico Viana","Ś","Paraíso, Ariel","2026-05-16 10:35:51"
"15168","Antumbra","P","Balcerak, Robert","2026-05-16 10:41:30"
"18750","Vôlei Mais Araraquara","R","Covas, Celestino","2026-05-16 11:51:21"
"18758","Rjn","P","Espósito, Ramon","2026-05-16 11:52:01"
"15170","Analógicos","A","Volpi, Vicente","2026-05-16 13:03:11"
"18752","Vôlei Natal","P","Souto, Otaviano","2026-05-16 13:16:32"
"18749","Obá Salvador","A","Quércia, Cauã","2026-05-16 14:25:31"
"18754","MinasTenisClube","R","Freire, Osório","2026-05-16 14:25:31"
"15169","Osasco vôlei 1998","Ś","Pavanelli, Inocêncio","2026-05-16 15:28:46"
"18755","Flamengo-sesc","L","Weber, Valdomiro","2026-05-16 16:28:35"
"18745","Flagreludas","P","Rios, Nicanor","2026-05-16 18:12:32"
"18745","Masha TC","Ś","Requião, Evaristo","2026-05-16 18:12:32"
"18758","Amigos FM","R","Siufi, Danilo","2026-05-16 19:12:30"
"18751","Brasil","R","Cury, Stéfano","2026-05-16 19:41:16"
"15168","ESPIRITO SANTO ESV","A","Nanini, Sabino","2026-05-16 22:26:39"
"15171","Pinheiros/Blue Life","P","Pozzi, Alessio","2026-05-17 00:03:33"
"18744","las palmas","A","Mello, Paulino","2026-05-17 02:26:50"
"18756","Lalabat","L","Malfitano, Eliezer","2026-05-17 03:05:56"
"15169","BeloryHills","A","Purece, Vasile","2026-05-17 07:29:22"
"18758","Carvalho","R","Alvarenga, Benedito","2026-05-17 07:51:38"
"18743","Osasco voleibol","R","Rockenbach, Gracindo","2026-05-17 11:25:35"
"15170","Magnus","A","Rodrigues, Juca","2026-05-17 12:00:22"
"18744","Barureri Clube","R","Rebouças, Natércio","2026-05-17 12:25:33"
"18752","Souzinha","Ś","Câmara, Lázaro","2026-05-17 12:25:33"
"15170","Magnus","R","Botelho, Herculano","2026-05-17 17:58:19"
"15171","Parque Dunas","A","Brás, Lírio","2026-05-17 19:41:23"
"15170","Rio Super","Ś","Perrone, Iranildo","2026-05-17 22:55:02"
"18753","BFR","P","Braúnas, Juarez","2026-05-17 23:03:25"
"15170","lnstituto Dom Fernando Gomes","Ś","Madeira, Levindo","2026-05-18 00:09:41"
"18758","Carvalho","P","Tolentino, Valmir","2026-05-18 00:24:15"
"18756","Shiratorizawax","A","Videira, Jonathan","2026-05-18 03:44:28"
"18753","Diadema DOZE","R","Lisboa, Afrânio","2026-05-18 04:26:51"
"15171","CWB Vôlei Clube","P","Barros, Cláudio","2026-05-18 04:38:19"
"18748","Madureira Coca Cola","A","Barsotti, Elísio","2026-05-18 08:36:01"
"18754","Vera Cruz Club","A","Ribeiro, Itamar","2026-05-18 09:54:18"
"18746","Bruthus Voleibol Clube","Ś","Colin, Laurindo","2026-05-18 18:12:34"
"18752","Sparta VC","L","Mattar, Claudionor","2026-05-18 21:10:13"
"18756","Joinville","Ś","Borba, Diego","2026-05-18 21:10:13"
"15171","Maldaner VC","P","Oddenino, Giuliano","2026-05-18 21:41:11"
"18746","Ribeirão Preto","P","Quaranta, Jonas","2026-05-18 21:45:04"
"18752","E. C. Triângulo","A","Carrara, Álvaro","2026-05-18 21:51:16"
"18746","Foice & Martelo","Ś","Caldeira, Tomás","2026-05-19 04:15:19"
"15169","Adestradora","L","Hoff, Orlando","2026-05-19 07:03:54"
"18754","Shakhtar Meliantes","P","Caldas, Delfino","2026-05-19 18:12:32"
"18745","Bolsonaristas","A","Dariva, Marcondes","2026-05-19 19:12:32"
"18749","Pelotiba","L","Vendramini, Afonso","2026-05-20 08:02:51"
"15172","Novo Hamburgo","L","Smith, Matt","2026-05-20 08:53:40"
"18743","AABB/SADA","P","Monteiro, Valter","2026-05-20 10:54:18"
"15171","Clube Atlético Ypiranga","Ś","Chassagnard, Fontaine","2026-05-20 20:12:38"
"18756","Santos","Ś","Novaes, Ocimar","2026-05-20 21:45:04"
"15170","Fênix Vôlei","Ś","Hipólito, Josivaldo","2026-05-21 00:04:38"
"18758","Gameleira","Ś","Fontana, Milton","2026-05-21 04:15:15"
"18757","Fairy Tail","R","Buarque, Alcides","2026-05-21 15:23:28"
"18755","San Jose de Los Campos","L","Kalil, Wesley","2026-05-21 20:35:28"
"15172","PedroRibeiroVT","P","Salum, Luiz","2026-05-21 21:41:12"
"18752","E. C. Triângulo","P","Falcão, Guilherme","2026-05-22 10:16:33"
"18756","Twinst","R","Câmara, Waldir","2026-05-22 23:07:54"
"18750","Ahcuas FC","R","Cançado, Nicomedes","2026-05-23 05:07:11"
"18747","Atletico Viana","P","Buzzato, Orestes","2026-05-23 09:51:36"
"18746","Brinco de Ouro","P","Sanches, Renê","2026-05-24 12:54:15"
"18748","ANG Team","P","Alvarenga, Jorge","2026-05-25 16:23:26"
"18748","Montreal VL","R","Damasceno, Andrei","2026-05-25 23:49:45"
"18751","Company/Villa d Champs","P","Antonini, Ulisses","2026-05-26 10:44:55"
"18750","Ahcuas FC","P","Calheiros, Genésio","2026-05-28 21:53:42"
"18751","Adesp","P","Mendes, Givanildo","2026-05-29 06:07:10"
