ID Ligi,Klub,Pozycja,Zawodnik,Powrót do gry
"15173","IceTeam","R","Foit, Oskar","2026-05-13 23:26:37"
"15173","Bullets","L","Vutov, Vasil","2026-05-14 01:51:17"
"15177","Lupo Volley","P","Walczak, Kamil","2026-05-14 03:05:13"
"15173","VC LOKOMOTIV SOFIA","Ś","Gyurdzhiyski, Georgi","2026-05-14 11:41:28"
"15175","BALIN VOLLEY","P","Cheshmedzhiev, Vladimir","2026-05-14 17:15:42"
"15175","Hector","Ś","Tzenov, Georgi","2026-05-14 22:10:16"
"15175","Alex","P","Petkov, Pencho","2026-05-15 00:03:24"
"15174","феди","L","Szymanowski, Adrian","2026-05-15 06:25:17"
"15173","VC Minyor Pernik","A","Vladov, Dimitar","2026-05-15 09:27:21"
"15173","Projekt Saturnia","Ś","Postigo, Moisés","2026-05-15 21:28:08"
"15176","Lukoil Neftochimic","A","Korpal, Aleksander","2026-05-15 21:28:09"
"15176","DOROSTOL","P","Büch, Uwe","2026-05-15 22:46:47"
"15173","Team Spoko","A","Vladimirov, Boyko","2026-05-16 01:28:19"
"15173","VC LOKOMOTIV SOFIA","Ś","Belardo, Giuseppe","2026-05-16 01:51:54"
"15176","DOROSTOL","R","Kirov, Anko","2026-05-16 02:51:48"
"15176","Wrexham Volley","Ś","Belsing, Greger","2026-05-16 09:23:32"
"15173","Team Spoko","Ś","Onetto, Roldán","2026-05-16 23:06:51"
"15173","Big Boys Volley Team","Ś","Lalov, Kostadin","2026-05-17 00:28:20"
"15176","Sofia de Janeiro","R","Dłużak, Krzysztof","2026-05-17 02:18:08"
"15173","VC LOKOMOTIV SOFIA","P","Karchin, Lyubomir","2026-05-17 02:51:48"
"15173","Crescendo","Ś","Tôchika, Kazuhisa","2026-05-17 08:38:23"
"15174","Sepultura","R","Tamagnini, Binho","2026-05-17 13:39:43"
"15177","Intake team","L","Banach, Dariusz","2026-05-17 14:25:32"
"15176","Energiq","P","Kula, Stanisław","2026-05-17 20:31:56"
"19362","Slivnitsa","R","Zahariev, Zdravko","2026-05-17 23:03:27"
"15176","Dunav_Ruse","P","Hautekiet, Matthieu","2026-05-18 09:16:33"
"15175","VC CSKA","Ś","Rola, Cláudio","2026-05-18 11:41:08"
"15175","Troyan Vikings","A","Pontone, Rossano","2026-05-18 16:30:56"
"15175","Manchester City","Ś","Atanasov, Stayko","2026-05-18 20:12:29"
"15177","Northern Dire Wolves","Ś","Ivanovici, Constantin","2026-05-20 22:10:07"
"19362","Levski Sofiq","P","Lyubenov, Tzanko","2026-05-27 01:33:46"
