ID Ligi,Klub,Pozycja,Zawodnik,Powrót do gry
"15189","Jojolinovich","R","Peters, David","2026-05-13 23:16:38"
"17824","VC INSANE","Ś","Elas, Tomasz","2026-05-14 01:58:33"
"17831","Marcia stars","R","Zuziak, Dominik","2026-05-14 04:53:39"
"17834","Stettbach Barracudas","Ś","Sundström Kanon, Carl-Otto","2026-05-14 05:29:21"
"17830","OK Kamnica","A","Semovski, Ĺke","2026-05-14 05:29:24"
"15191","d team","Ś","Neveu, Christophe","2026-05-14 06:34:48"
"17834","KoPa","P","Kozica, Jöran","2026-05-14 06:36:04"
"15189","SorcererTeam","Ś","Seweryn, Stanisław","2026-05-14 06:53:37"
"17831","Vollingo","Ś","Fahlstad, Jesper","2026-05-14 07:25:57"
"17824","Volley Neppe","R","Wojtunik, Jakub","2026-05-14 08:02:48"
"17822","HBB","P","Finér, Jan-Ola","2026-05-14 09:28:23"
"15191","SAMO ZDRAVLJE","P","Azenha, Genaro","2026-05-14 11:41:28"
"17821","CV Delft","P","Linde, Frans","2026-05-14 11:51:59"
"17825","Nubelix","A","Iacopini, Lapo","2026-05-14 12:18:53"
"17834","JH/GH","P","Blanck, Ulfried","2026-05-14 13:28:51"
"17823","Ben Fenster","L","Ĺsell, Pierre","2026-05-14 14:28:35"
"17828","Viking Athletic","P","Nery, Modesto","2026-05-14 14:31:00"
"15190","Sport Center","P","So, Quentin","2026-05-14 15:18:51"
"17828","VC Pahonia Wrocław","P","Lira, Márcio","2026-05-14 16:49:04"
"15192","Бия","Ś","Genier, Charles","2026-05-14 17:33:51"
"17835","Daugava Riga","A","Onar, Lennart","2026-05-14 18:41:27"
"17828","IMProVision","P","Korytkowski, Artur","2026-05-14 19:45:05"
"17821","Llorones Crew","Ś","Rĺman, Bert-Ola","2026-05-14 19:51:15"
"17828","Karasuno_2025","R","Runefelt, Markus","2026-05-14 20:41:13"
"17831","VC Lennik Heren","R","La Spada, Alfio","2026-05-14 22:03:19"
"17824","PRO ACADEMY FALTICENI","A","Quintavalla, Carmelo","2026-05-14 22:10:19"
"17829","Emeve Lugo Zürich","P","Rustas, Svenning","2026-05-14 23:51:49"
"15188","HIKERS","Ś","Aguado, Sancho","2026-05-15 01:03:14"
"17830","OK Kamnica","P","Krijestorac, Sven-Ĺke","2026-05-15 01:51:20"
"15190","LARANJINHAS","L","Kowalski, Jan","2026-05-15 02:05:56"
"17826","Pinilla team","R","Hauptmann, Michael","2026-05-15 07:26:01"
"17822","Flash Nieuwleusen","L","Ählman, Bosse","2026-05-15 07:51:37"
"17830","Claret Madrid","A","Fridell, Holger","2026-05-15 08:51:36"
"17830","Helsinki VC","A","Kozłowski, Maksymilian","2026-05-15 10:00:27"
