ID Ligi,Klub,Pozycja,Zawodnik,Powrót do gry
"15184","TSV 1860 München","P","Richards, David","2026-05-14 11:24:39"
"15184","Kirschen VBV","P","Laurent, Valentin","2026-05-14 20:14:11"
"15183","FlyingDutchman","Ś","Eckhardt-Heble, Gismar","2026-05-14 23:06:56"
"15187","VC Leipziger Luchse","Ś","Mulec, Tomaž","2026-05-14 23:09:40"
"15183","Against all odds","Ś","Bourbon, Sébastien","2026-05-15 06:09:22"
"15183","Kreisligalegenden","Ś","Jankowski, Maciej","2026-05-15 07:38:29"
"15186","Antizyan","P","Vasques, Osmar","2026-05-16 00:24:13"
"15186","TU Sport","P","Powęski, Artur","2026-05-16 13:25:38"
"15185","SV Bonn","A","Schnetter, Heini","2026-05-16 18:14:56"
"15186","jamal31","R","Wohlsperger, Reinhardt","2026-05-17 03:05:14"
"15186","SFC 90","Ś","Kolczyński, Bartosz","2026-05-17 06:54:38"
"15183","Brackens VC","A","Piotrowski, Kamil","2026-05-18 00:24:20"
"15185","KM Volley","R","Antartis, Torben","2026-05-19 09:35:58"
"15187","Wombats 07","P","Meisinger, Eric","2026-05-20 12:16:30"
"15187","Bindi United","L","Kusternig, Götz","2026-05-26 01:49:40"
"15185","Pforzheim","Ś","Krebsförden, Thorsten","2026-05-26 11:54:14"
