ID Ligi,Klub,Pozycja,Zawodnik,Powrót do gry
"15817","Kratos","R","Lanna, Manoel","2026-05-14 04:38:18"
"15813","Porto FC","Ś","La Spada, Roberto","2026-05-14 05:41:42"
"15816","Indomáveis","P","Balcerzyk, Krzysztof","2026-05-14 13:25:32"
"15814","MiniTeam","R","Boavida, Lourenço","2026-05-14 13:51:59"
"15814","Sport of Dreams","R","do Carmo, Adalberto","2026-05-14 14:25:33"
"15814","Janecagalhão","A","Pinto, Perdigão","2026-05-14 18:33:53"
"15816","Leixões Sport Club","R","Vilasboas, Dórdio","2026-05-15 09:51:34"
"15815","CV PORTUENSE","P","Queiroga, Henrique","2026-05-15 10:55:07"
"15817","Antigos Alunos","P","Espinheira, Laércio","2026-05-15 11:28:21"
"15816","OCSAV","R","Basto, Vasco","2026-05-15 13:25:32"
"15816","No name boys","R","Pepezinho, Laércio","2026-05-15 14:25:31"
"15816","Zombie rangers","Ś","Venâncio, Patrick","2026-05-15 23:10:07"
"15817","Cachos VC","P","Barata, Augusto","2026-05-15 23:16:37"
"15815","Benficaa","Ś","Prado, Altino","2026-05-16 01:24:14"
"15813","Rexona Ades","Ś","Lenarczyk, Mateusz","2026-05-16 08:36:00"
"15816","C Kairós","L","Sampaio, Ildeberto","2026-05-16 11:28:18"
"15815","Nós & Faneka","A","Braga, Isildo","2026-05-16 15:28:42"
"15815","CV Coimbra","Ś","Gern, Nico","2026-05-16 16:38:11"
"15814","Wombats","L","Paczuła, Kacper","2026-05-16 23:16:37"
"15817","Antigos Alunos","Ś","Seabra, Sérgio","2026-05-17 03:33:40"
"15813","Quilmes Azores","Ś","Michalak, Przemysław","2026-05-17 06:34:48"
"15815","Covilha VC","A","Pêra, Matheus","2026-05-17 11:28:18"
"15814","Janecagalhão","Ś","Salgado, Daniel","2026-05-17 20:41:23"
"15817","A.D.Ribeira","A","Porret, Justin","2026-05-17 21:46:13"
"15815","CAPP","Ś","Carrilho, Cristovão","2026-05-19 05:15:14"
"15816","Seleção Açores","Ś","Rola, Paulo","2026-05-19 21:12:30"
"15815","K100 Volei weee","Ś","Aniceto, Lúcio","2026-05-22 23:35:23"
"15814","Joao","A","Eduardo, Salvador","2026-05-23 02:33:51"
