ID Ligi,Klub,Pozycja,Zawodnik,Powrót do gry
"15574","Anatoliandata","L","Mehır, Baturalp","2026-05-14 02:49:40"
"15573","Sessamos","Ś","Freire, Juscelino","2026-05-14 06:53:38"
"15575","onantino fenezia","A","Mebruke, Teoman","2026-05-14 10:25:02"
"15573","mludio spor","A","Ziemiński, Michał","2026-05-14 13:25:31"
"15577","Déteste","Ś","Benan, Erhan","2026-05-14 13:25:32"
"15574","Fenerbahçe SK","Ś","Zelal, Taner","2026-05-14 14:25:32"
"15574","Güngören","L","İlknur, Inanç","2026-05-15 11:41:30"
"15574","Aydın BŞB","R","Kutlukhan, Atılgan","2026-05-15 13:15:33"
"15575","ERCİYES FK","A","Pelıt, Ersin","2026-05-15 14:03:13"
"15574","Fenerbahçe SK","P","Oytun, Yekta","2026-05-15 20:41:22"
"15576","Newport city","L","Sınem, Alper","2026-05-15 22:10:08"
"15573","VAKIFBANK SK.","A","Moura, Ciro","2026-05-15 23:57:01"
"15576","Wild Chicks","A","Areosa, Hércules","2026-05-16 02:18:01"
"15573","ERoS SPOR","P","Diamanti, Ruggero","2026-05-16 05:34:55"
"15576","anonymoustr","Ś","Umut, Nedim","2026-05-16 13:25:34"
"15575","Zonguldak Kömür Volley","R","Sevgı, Hüsnü","2026-05-16 14:51:18"
"15575","Cıgılat Spor","Ś","Asutay, Hüsam","2026-05-17 00:03:33"
"15574","TIKI TAKA","P","Velichkov, Atanas","2026-05-17 03:05:55"
"15577","Fedorovtseva 🌿","Ś","Sprenger, Jean-Luc","2026-05-17 03:33:18"
"15573","Galatasaray Daikin","Ś","Kucharczyk, Rafał","2026-05-17 05:31:40"
"15577","Halkbank","Ś","Işik, Tolunay","2026-05-17 13:25:31"
"15574","TIKI TAKA","P","Wolkenhaar, Ottfried","2026-05-17 22:10:07"
"15575","Yellow Angels FB","P","Ebru, Hami","2026-05-17 23:10:08"
"15577","TARIK FK","P","Gaida, Stanisław","2026-05-18 00:03:16"
"15574","Roketgucu","P","Sercan, Ilyas","2026-05-18 13:35:50"
"15575","borpark","Ś","Yargı, Ayben","2026-05-18 13:51:58"
"15577","MONTANA SPOR","Ś","Meral, Halis","2026-05-18 20:28:04"
"15576","Fenerbahçe","Ś","Arıf, Gönenç","2026-05-19 12:54:18"
"15575","Niksar bld","R","Bergüzar, Can","2026-05-21 01:07:54"
"15575","ertonitontario","P","Sabah, Feyyaz","2026-05-21 06:15:14"
"15574","Gandalf","P","Tuğberk, Turan","2026-05-22 11:54:13"
"15574","Göztepe","A","Ertan, Sadık","2026-05-22 20:12:30"
"15574","İmamsport","Ś","Lerzan, Tolga","2026-05-22 22:41:12"
