ID Ligi,Klub,Pozycja,Zawodnik,Powrót do gry
"18736","Ondanomal","P","Perrari, Alessandro","2026-05-14 04:07:11"
"18733","PSE Volley","A","Poggi, Eugenio","2026-05-14 04:09:16"
"15194","TrentinoVolley","Ś","Matassa, Orlando","2026-05-14 06:07:10"
"18732","Los Blancos","Ś","Bleuanus, Lionel","2026-05-14 06:36:00"
"18737","Palermo","Ś","Savorgnani, Gaetano","2026-05-14 08:41:30"
"18739","Matador","L","Cosentino, Bruno","2026-05-14 08:51:35"
"18731","Giant Dragon FC","A","Iacopini, Sante","2026-05-14 09:41:35"
"15195","Graculi Volley","Ś","Antoni, Fabiano","2026-05-14 09:55:05"
"18741","Hit Olympia","Ś","Roccetti, Ubaldo","2026-05-14 10:15:33"
"15194","Cippolippo VC","L","Lushi, Christian","2026-05-14 14:18:49"
"15193","Roma Volley","P","Cavadini, Renzo","2026-05-14 16:28:45"
"18735","Marausa FC","Ś","De Giorgi, Alfredo","2026-05-14 17:41:23"
"18742","Spina Team","Ś","Bjelić, Dragomir","2026-05-14 18:31:55"
"15196","Muggia Volley Trieste","P","Tomaszewski, Jacek","2026-05-14 19:41:22"
"18737","Pallavolo Fazzari","Ś","Braidotti, Enzo","2026-05-14 21:35:25"
"15196","PokiPrin","Ś","Filoni, Quinto","2026-05-15 02:33:25"
"15197","Cuneo Eagles","R","Cristiano, Lazzaro","2026-05-15 02:33:25"
"18734","Volley Rassina","R","Poletti, Aldopaolo","2026-05-15 03:05:56"
"15196","VC Zbiki","Ś","Fabbricatore, Angelo","2026-05-15 07:58:16"
"18732","Latina spike volley","P","Pillitteri, Gastone","2026-05-15 12:28:17"
"18729","FAVL","Ś","Scaglione, Fabiano","2026-05-15 13:03:13"
"18739","Titans Volley","Ś","Berto, Santrino","2026-05-15 13:28:35"
"18728","I_Disagiati","R","Rollo, Ottavio","2026-05-15 13:51:18"
"18741","Calimmone Square","L","Medoro, Zaccaria","2026-05-15 14:03:10"
"18732","New Town","P","Oliveri, Corrado","2026-05-15 14:28:35"
"18729","Airone Perdepera","P","Soverini, Gianni","2026-05-15 15:39:49"
"18738","CUS Girasole","Ś","Tullini, Dimitris","2026-05-15 16:33:52"
"18736","Aaa","L","Zanzi, Enzo","2026-05-15 17:41:24"
"18731","Supercazzola Utd","R","Aloisi, Lazzaro","2026-05-15 19:51:15"
"15194","Atletica Vapriese","R","Grazioli, Edgardo","2026-05-15 20:12:37"
"18730","Jimmy boys","A","Meneghesso, Adriano","2026-05-15 21:35:29"
"15193","Matera Bulls","L","Sebastian, Maciej","2026-05-15 21:46:47"
"18742","Azzolino","R","Bongiovanni, Davide","2026-05-15 23:24:13"
"15196","STADIO","L","Mazzanti, Orazio","2026-05-16 02:18:02"
"15197","Spina Volley","P","Krzemiński, Kacper","2026-05-16 05:44:27"
"18731","LeAurore","A","Hein, Marcus","2026-05-16 07:29:21"
"18741","Pabibu Stars","L","Di Nucci, Matteo","2026-05-16 07:35:59"
"15197","DiWine Volley","P","Clerckx, Sandy","2026-05-16 08:53:33"
"18739","Effess","P","Scarpa, Gianluca","2026-05-16 09:28:21"
"18732","andyasromavolley","R","Santelli, Scipio","2026-05-16 09:41:30"
"18728","Weee","P","Minozzi, Gianvito","2026-05-16 09:54:14"
"18731","Mons Regionis","P","Vecchi, Ivano","2026-05-16 10:51:58"
"18729","FAVL","P","Paolillo, Giuliano","2026-05-16 11:15:33"
"15197","Roger9219","L","Schwartz, Keith","2026-05-16 11:41:06"
"15193","Los Lobos","L","Czechowski, Józef","2026-05-16 11:41:29"
"18737","Butterfly","L","Waszkowiak, Zenon","2026-05-16 11:51:20"
"18734","Iceberg Cinisello Balsamo","P","Iacopini, Sandro","2026-05-16 11:52:01"
"18734","Gringos tharros","P","Trenta, Dimitris","2026-05-16 15:28:35"
"15196","Denivol Team","A","Biskup, Ernest","2026-05-16 17:08:01"
"18739","CutraVolley","Ś","Fiumani, Matteo","2026-05-16 18:12:31"
"15197","Cuneo Eagles","P","McDermott, Roger","2026-05-16 22:45:02"
"18735","LMD Star","L","Casellato, Rodrigo","2026-05-16 22:51:15"
